Class,Number,Class Title,Quarter,Year,GPA
MUSIC,331,History of Jazz,Autumn,2014,3.5
SCAND,367,Human Sexuality in Scandinavia,Autumn,2014,3.7
ART,201,Ceramic Handbuilding,Spring,2014,3.7
GERMAN,103,First-Year German,Spring,2014,3.3
MUSIC ,162,Writing- American Popular Music,Spring,2014,3.9
GERMAN,102,First-Year German,Winter,2014,3.5
ASTR,150,The Planets,Autumn,2013,3.2
ESS,102,Space & Space Travel,Autumn,2013,3.5
GERMAN,101,First-Year German,Autumn,2013,3.2
GEN ST,199,University Community,Autumn,2013,CR
